cahier,pieceSlug,author,title,wordCount,isAvertissement,tier,wikisource_url,wikisource_status,current_fr_source,fr_file,action
s01-c09,entre-deux-trains,charles-peguy,Entre deux trains,12675,false,T1,,,,src/content/pieces/s01-c09--entre-deux-trains.fr.md,verify-peguy
s01-c09,le-socialisme-et-les-intellectuels,paul-lafargue,Le Socialisme et les intellectuels,21031,false,T2,,,,src/content/pieces/s01-c09--le-socialisme-et-les-intellectuels.fr.md,verify
s01-c10,communications-les-petits-teigneux,charles-peguy,Communications. Les Petits Teigneux,13436,false,T1,,,,src/content/pieces/s01-c10--communications-les-petits-teigneux.fr.md,skip-editorial
s01-c10,socialisme-et-collectivisme,emile-vandervelde,Socialisme et collectivisme,9002,false,T3,,,,src/content/pieces/s01-c10--socialisme-et-collectivisme.fr.md,skip
s01-c11,le-socialisme-et-les-intellectuels,charles-peguy,Le Socialisme et les intellectuels,10477,false,T1,,,,src/content/pieces/s01-c11--le-socialisme-et-les-intellectuels.fr.md,verify-peguy
s01-c11,reponse-breve-a-jaures,charles-peguy,Réponse brève à Jaurès,17507,false,T1,,,,src/content/pieces/s01-c11--reponse-breve-a-jaures.fr.md,verify-peguy
s01-c12,administration,charles-peguy,Administration,757,false,T1,,,,src/content/pieces/s01-c12--administration.fr.md,verify-peguy
s01-c12,deuxieme-serie-au-provincial,charles-peguy,Deuxième série au Provincial,3806,false,T1,,,,src/content/pieces/s01-c12--deuxieme-serie-au-provincial.fr.md,done-reocr
s01-c12,nouvelles-communications,charles-peguy,Nouvelles communications,16840,false,T1,,,,src/content/pieces/s01-c12--nouvelles-communications.fr.md,verify-peguy
s02-c01,ajournement,charles-peguy,Ajournement,1203,false,T1,,,,src/content/pieces/s02-c01--ajournement.fr.md,verify-peguy
s02-c01,nos-annonces,charles-peguy,nos annonces,14233,false,T1,,,,src/content/pieces/s02-c01--nos-annonces.fr.md,verify-peguy
s02-c01,nouvelles-communications,charles-peguy,Nouvelles communications,6426,false,T1,,,,src/content/pieces/s02-c01--nouvelles-communications.fr.md,verify-peguy
s02-c02,vers-l-action,rene-salome,Vers l'action,21070,false,T3,,,,src/content/pieces/s02-c02--vers-l-action.fr.md,skip
s02-c03,administration,charles-peguy,Administration,10820,false,T1,,,,src/content/pieces/s02-c03--administration.fr.md,verify-peguy
s02-c03,le-theatre-social,jean-jaures,Le théâtre social,5051,false,T2,,,,src/content/pieces/s02-c03--le-theatre-social.fr.md,verify
s02-c03,pour-ma-maison,charles-peguy,Pour ma maison,1967,false,T1,,,,src/content/pieces/s02-c03--pour-ma-maison.fr.md,verify-peguy
s02-c04,l-amnistie-et-les-socialistes,hubert-lagardelle,L'amnistie et les socialistes,2280,false,T3,,,,src/content/pieces/s02-c04--l-amnistie-et-les-socialistes.fr.md,skip
s02-c04,les-intellectuels-devant-le-socialisme,hubert-lagardelle,Les Intellectuels devant le socialisme,11577,false,T3,,,,src/content/pieces/s02-c04--les-intellectuels-devant-le-socialisme.fr.md,skip
s02-c05,contribution-aux-preuves,charles-peguy,Contribution aux Preuves,3395,false,T1,,,,src/content/pieces/s02-c05--contribution-aux-preuves.fr.md,done-reocr
s02-c05,courrier-de-chine,lionel-landry,Courrier de Chine,3083,false,T3,,,,src/content/pieces/s02-c05--courrier-de-chine.fr.md,skip
s02-c05,pour-moi,charles-peguy,Pour moi,13625,false,T1,,,,src/content/pieces/s02-c05--pour-moi.fr.md,done-reocr
s02-c06,danton-trois-actes,romain-rolland,"Danton, trois actes",25225,false,T1,https://fr.wikisource.org/wiki/Danton_(Romain_Rolland),validated,,src/content/pieces/s02-c06--danton-trois-actes.fr.md,use-wikisource
s02-c07,administration,charles-peguy,Administration,85,false,T1,,,"Ingéré depuis ~/charlespeguy.com/raw/s02-c07-administration-casse-cou.txt (queue de l'OCR), 2026-05-25",src/content/pieces/s02-c07--administration.fr.md,verify-peguy
s02-c07,casse-cou,charles-peguy,Casse-cou,14227,false,T1,,,,src/content/pieces/s02-c07--casse-cou.fr.md,verify-peguy
s02-c07,librairie-des-cahiers,charles-peguy,librairie des cahiers,3495,false,T1,,,,src/content/pieces/s02-c07--librairie-des-cahiers.fr.md,verify-peguy
s02-c07,pour-et-contre-diderot,charles-peguy,Pour et contre Diderot,2440,false,T1,,,,src/content/pieces/s02-c07--pour-et-contre-diderot.fr.md,verify-peguy
s02-c08,bacchus-trois-actes,lionel-landry,"Bacchus, trois actes",14519,false,T3,,,,src/content/pieces/s02-c08--bacchus-trois-actes.fr.md,skip
s02-c09,intellectuels-et-socialisme,paul-mantoux-charles-guieysse,Intellectuels et socialisme,6921,false,T3,,,,src/content/pieces/s02-c09--intellectuels-et-socialisme.fr.md,skip
s02-c09,proces-verbaux,charles-peguy,Procès-verbaux,3348,false,T1,,,,src/content/pieces/s02-c09--proces-verbaux.fr.md,verify-peguy
s02-c09,quatre-jours-a-montceau,andre-bourgeois,Quatre jours à Montceau,8519,false,T3,,,,src/content/pieces/s02-c09--quatre-jours-a-montceau.fr.md,skip
s02-c10,cahier-d-annonces,charles-peguy,Cahier d'annonces,16854,false,T1,,,,src/content/pieces/s02-c10--cahier-d-annonces.fr.md,verify-peguy
s02-c11,compte-rendu-de-mandat,charles-peguy,Compte rendu de mandat,19532,false,T1,,,,src/content/pieces/s02-c11--compte-rendu-de-mandat.fr.md,done-reocr
s02-c12,jean-coste-ou-l-instituteur-de-village,antonin-lavergne,Jean Coste ou l'instituteur de village,59542,false,T3,,,,src/content/pieces/s02-c12--jean-coste-ou-l-instituteur-de-village.fr.md,skip
s02-c13,librairie-des-cahiers,charles-peguy,Librairie des cahiers,4405,false,T1,,,,src/content/pieces/s02-c13--librairie-des-cahiers.fr.md,verify-peguy
s02-c13,quelques-mots-sur-proudhon,georges-sorel,Quelques mots sur Proudhon,12198,false,T2,,,,src/content/pieces/s02-c13--quelques-mots-sur-proudhon.fr.md,verify
s02-c14,boecklin-chez-les-francais,leon-deshairs,Boecklin chez les Français,2195,false,T3,,,,src/content/pieces/s02-c14--boecklin-chez-les-francais.fr.md,skip
s02-c14,congres-de-lyon,louise-levi,Congrès de Lyon,13560,false,T3,,,,src/content/pieces/s02-c14--congres-de-lyon.fr.md,skip
s02-c14,courrier-de-chine,lionel-landry,Courrier de Chine,1639,false,T3,,,Extracted 2026-05-25 from conflated ~/charlespeguy.com/raw/s02-c14-expulsion-de-nicolas-paouli.txt lines 2994–3279; identified by running headers 'Lionel Landry / COURRIER DE CHINE' and Tien-Tsin datelines.,src/content/pieces/s02-c14--courrier-de-chine.fr.md,skip
s02-c14,expulsion-de-nicolas-paouli,charles-peguy,Expulsion de Nicolas Paouli,2618,false,T1,,,,src/content/pieces/s02-c14--expulsion-de-nicolas-paouli.fr.md,verify-peguy
s02-c15,memoires-et-dossiers-pour-les-libertes-du-personnel-enseignant-en-france,charles-peguy,Mémoires et dossiers pour les libertés du personnel enseignant en France,20213,false,T1,,,,src/content/pieces/s02-c15--memoires-et-dossiers-pour-les-libertes-du-personnel-enseignant-en-france.fr.md,verify-peguy
s02-c16,congres-socialiste-international-paris-1900,charles-peguy,Congrès socialiste international Paris 1900,61859,false,T1,,,,src/content/pieces/s02-c16--congres-socialiste-international-paris-1900.fr.md,skip-editorial
s03-c01,compte-rendu-de-congres,charles-peguy,Compte rendu de congrès,18629,false,T1,,,,src/content/pieces/s03-c01--compte-rendu-de-congres.fr.md,done-reocr
s03-c02,les-universites-populaires,charles-guieysse,Les Universités Populaires,11872,false,T3,,,"Archive.org vision OCR 2026-05-25 (Round 8). Volume s3cahiersdelaquinz01pg, leaves 0096–0153. Performed by 4 parallel general-purpose subagents reading the IIIF JPGs.",src/content/pieces/s03-c02--les-universites-populaires.fr.md,skip
s03-c02,vraiment-vrai,charles-peguy,Vraiment vrai,800,false,T1,,,,src/content/pieces/s03-c02--vraiment-vrai.fr.md,verify-peguy
s03-c03,de-l-eglise-et-de-l-etat-fragments,georges-sorel,"De l'Église et de l'État, fragments",20338,false,T2,,,,src/content/pieces/s03-c03--de-l-eglise-et-de-l-etat-fragments.fr.md,verify
s03-c04,de-la-raison,charles-peguy,De la raison,7618,false,T1,https://fr.wikisource.org/wiki/Études_socialistes/De_la_Raison,validated,,src/content/pieces/s03-c04--de-la-raison.fr.md,use-wikisource
s03-c04,etudes-socialistes,jean-jaures,Études socialistes,71346,false,T2,,,"fr.wikisource.org — Études socialistes (Cahiers de la Quinzaine, 1901), texte entier 2026-05-25",src/content/pieces/s03-c04--etudes-socialistes.fr.md,verify
s03-c05,juifs,georges-delahache,Juifs,18828,false,T3,,,,src/content/pieces/s03-c05--juifs.fr.md,skip
s03-c06,la-greve-trois-actes,jean-hugues,"La Grève, trois actes",16636,false,T3,,,,src/content/pieces/s03-c06--la-greve-trois-actes.fr.md,skip
s03-c07,m-gustave-tery,charles-peguy,M. Gustave Téry,19637,false,T1,,,,src/content/pieces/s03-c07--m-gustave-tery.fr.md,verify-peguy
s03-c08,les-juifs-en-roumanie,bernard-lazare,Les Juifs en Roumanie,32052,false,T2,,,,src/content/pieces/s03-c08--les-juifs-en-roumanie.fr.md,verify
s03-c09,une-lettre-inedite-a-romain-rolland,leon-tolstoi,Une lettre inédite à Romain Rolland,8386,false,T1,,,,src/content/pieces/s03-c09--une-lettre-inedite-a-romain-rolland.fr.md,verify-tolstoi
s03-c10,les-universites-populaires-1900-1901-paris-et-banlieue,charles-guieysse,"Les Universités Populaires 1900-1901, Paris et banlieue",16444,false,T3,,,,src/content/pieces/s03-c10--les-universites-populaires-1900-1901-paris-et-banlieue.fr.md,skip
s03-c11,le-14-juillet-action-populaire-trois-actes,romain-rolland,"Le 14 Juillet, action populaire, trois actes",45894,false,T1,,,,src/content/pieces/s03-c11--le-14-juillet-action-populaire-trois-actes.fr.md,done-reocr
s03-c12,monographies-personnalites,charles-peguy,Monographies. Personnalités,19423,false,T1,,,,src/content/pieces/s03-c12--monographies-personnalites.fr.md,done-reocr
s03-c13,dingley-l-illustre-ecrivain,jerome-et-jean-tharaud,"Dingley, l'illustre écrivain",15121,false,T3,,,,src/content/pieces/s03-c13--dingley-l-illustre-ecrivain.fr.md,skip
s03-c14,socialismes-nationaux,georges-sorel,Socialismes nationaux,18931,false,T2,,,,src/content/pieces/s03-c14--socialismes-nationaux.fr.md,verify
s03-c15,cahiers-de-la-quinzaine,anatole-france,Cahiers de la Quinzaine,9863,false,T2,,,,src/content/pieces/s03-c15--cahiers-de-la-quinzaine.fr.md,verify
s03-c16,les-elections,charles-peguy,Les élections,18861,false,T1,,,,src/content/pieces/s03-c16--les-elections.fr.md,verify-peguy
s03-c17,cahier-de-courriers,felicien-challaye,Cahier de courriers,18129,false,T2,,,,src/content/pieces/s03-c17--cahier-de-courriers.fr.md,verify
s03-c18,personnalites-monographies,charles-peguy,Personnalités. Monographies,18599,false,T1,,,,src/content/pieces/s03-c18--personnalites-monographies.fr.md,verify-peguy
s03-c19,pour-l-armenie,pierre-quillard,Pour l'Arménie,43229,false,T3,,,,src/content/pieces/s03-c19--pour-l-armenie.fr.md,skip
s03-c20,les-universites-populaires-1900-1901-departements,charles-guieysse,"Les Universités Populaires 1900-1901, Départements",43087,false,T3,,,,src/content/pieces/s03-c20--les-universites-populaires-1900-1901-departements.fr.md,skip
s03-c21,pour-la-finlande,jean-deck,Pour la Finlande,66105,false,T3,,,,src/content/pieces/s03-c21--pour-la-finlande.fr.md,skip
s04-c01,l-affaire-crainquebille-edition-complete,anatole-france,"L'affaire Crainquebille, édition complète",15211,false,T2,,,,src/content/pieces/s04-c01--l-affaire-crainquebille-edition-complete.fr.md,filter-blocked
s04-c02,l-aube-fraternelle,emile-moselly,L'aube fraternelle,22152,false,T3,,,,src/content/pieces/s04-c02--l-aube-fraternelle.fr.md,skip
s04-c03,de-jean-coste,charles-peguy,De Jean Coste,19450,false,T1,https://fr.wikisource.org/wiki/De_Jean_Coste_(Péguy),proofread,,src/content/pieces/s04-c03--de-jean-coste.fr.md,use-wikisource
s04-c04,la-medaille,antonin-lavergne,La médaille,28987,false,T3,,,,src/content/pieces/s04-c04--la-medaille.fr.md,skip
s04-c05,textes-et-commentaires-emile-zola,charles-peguy,Textes et commentaires. Emile Zola,36430,false,T1,,,,src/content/pieces/s04-c05--textes-et-commentaires-emile-zola.fr.md,filter-blocked
s04-c06,inventaire-des-cahiers,charles-peguy,Inventaire des Cahiers,14396,false,T1,,,,src/content/pieces/s04-c06--inventaire-des-cahiers.fr.md,verify-peguy
s04-c07,villon-tolstoi-tharaud-gillet-cahier-de-noel,charles-peguy,"Villon, Tolstoi, Tharaud, Gillet. Cahier de Noël",17071,false,T1,,,,src/content/pieces/s04-c07--villon-tolstoi-tharaud-gillet-cahier-de-noel.fr.md,verify-peguy
s04-c08,monsieur-matou,rene-salome,Monsieur Matou,18475,false,T3,,,,src/content/pieces/s04-c08--monsieur-matou.fr.md,skip
s04-c09,almanach-des-cahiers-pour-l-an-1903,charles-peguy,Almanach des cahiers pour l'an 1903,18659,false,T1,,,,src/content/pieces/s04-c09--almanach-des-cahiers-pour-l-an-1903.fr.md,verify-peguy
s04-c10,vie-des-hommes-illustres-beethoven,romain-rolland,"Vie des hommes illustres, Beethoven",26532,false,T1,,,,src/content/pieces/s04-c10--vie-des-hommes-illustres-beethoven.fr.md,done-reocr
s04-c11,la-politique-clericale-et-le-socialisme,edouard-berth,La politique cléricale et le socialisme,15595,false,T2,,,,src/content/pieces/s04-c11--la-politique-clericale-et-le-socialisme.fr.md,verify
s04-c12,introduction-a-la-metaphysique,henri-bergson,Introduction à la métaphysique,20686,false,T2,,,,src/content/pieces/s04-c12--introduction-a-la-metaphysique.fr.md,check-wikisource
s04-c13,impressions-sur-java,felicien-challaye,Impressions sur Java,19687,false,T2,,,,src/content/pieces/s04-c13--impressions-sur-java.fr.md,verify
s04-c14,le-temps-viendra-trois-actes,romain-rolland,"Le temps viendra, trois actes",26469,false,T1,,,,src/content/pieces/s04-c14--le-temps-viendra-trois-actes.fr.md,verify-rolland
s04-c15,la-chanson-du-roi-dagobert,pierre-baudouin,La chanson du roi Dagobert,9308,false,T3,,,,src/content/pieces/s04-c15--la-chanson-du-roi-dagobert.fr.md,skip
s04-c16,les-vaincus-joseph-d-arimathee,gabriel-trarieux,Les Vaincus. Joseph d'Arimathée,20074,false,T3,,,,src/content/pieces/s04-c16--les-vaincus-joseph-d-arimathee.fr.md,skip
s04-c17,affaire-dreyfus-debats-parlementaires,charles-peguy,Affaire Dreyfus. Débats parlementaires,76926,false,T1,,,,src/content/pieces/s04-c17--affaire-dreyfus-debats-parlementaires.fr.md,skip-editorial
s04-c18,affaire-dreyfus-cahiers-de-la-quinzaine,charles-peguy,Affaire Dreyfus. Cahiers de la Quinzaine,21448,false,T1,,,,src/content/pieces/s04-c18--affaire-dreyfus-cahiers-de-la-quinzaine.fr.md,filter-blocked
s04-c19,le-rhin-allemand,gaston-raphael,Le Rhin allemand,24148,false,T3,,,,src/content/pieces/s04-c19--le-rhin-allemand.fr.md,skip
s04-c20,affaire-dreyfus-reprise-politique-parlementaire,charles-peguy,Affaire Dreyfus. Reprise politique parlementaire,37554,false,T1,,,,src/content/pieces/s04-c20--affaire-dreyfus-reprise-politique-parlementaire.fr.md,verify-peguy
s04-c21,edgar-quinet,henry-michel,Edgar Quinet,28054,false,T2,,,,src/content/pieces/s04-c21--edgar-quinet.fr.md,verify
s04-c22,courriers-de-macedoine,maurice-kahn,Courriers de Macédoine,31484,false,T3,,,,src/content/pieces/s04-c22--courriers-de-macedoine.fr.md,skip
s05-c01,les-massacres-de-kichinef,henri-dagan,Les massacres de Kichinef,33799,false,T3,,,,src/content/pieces/s05-c01--les-massacres-de-kichinef.fr.md,skip
s05-c02,la-vie-d-evariste-galois,paul-dupuy,La vie d'Evariste Galois,28868,false,T3,,,,src/content/pieces/s05-c02--la-vie-d-evariste-galois.fr.md,skip
s05-c03,le-monument-de-renan,charles-peguy,Le monument de Renan,30011,false,T1,,,,src/content/pieces/s05-c03--le-monument-de-renan.fr.md,verify-peguy
s05-c04,le-theatre-du-peuple,romain-rolland,Le Théâtre du Peuple,59518,false,T1,https://fr.wikisource.org/wiki/Le_Théâtre_du_peuple_(Romain_Rolland),validated,,src/content/pieces/s05-c04--le-theatre-du-peuple.fr.md,use-wikisource
s05-c05,discours-pour-la-liberte,georges-clemenceau,Discours pour la liberté,45730,false,T2,,,,src/content/pieces/s05-c05--discours-pour-la-liberte.fr.md,verify
s05-c06,histoire-de-quatre-ans-1997-2001,daniel-halevy,"Histoire de quatre ans, 1997-2001",29136,false,T2,,,,src/content/pieces/s05-c06--histoire-de-quatre-ans-1997-2001.fr.md,done-reocr
s05-c07,moines-de-l-athos,jerome-et-jean-tharaud,Moines de l'Athos,15075,false,T3,,,Extracted 2026-05-25 from conflated s05-c07--notes-sur-la-hollande.fr.md (lines 1125–3019; running header 'Lebeau et Tharaud' identifies these lines).,src/content/pieces/s05-c07--moines-de-l-athos.fr.md,skip
s05-c07,notes-sur-la-hollande,henri-michel,Notes sur la Hollande,20605,false,T2,,,Trimmed 2026-05-25; original conflated file held three pieces (Notes sur la Hollande + Moines de l'Athos + Bulletin Tisseurs d'Armentières) plus publisher back-matter.,src/content/pieces/s05-c07--notes-sur-la-hollande.fr.md,verify
s05-c08,maximilien-robespierre,karl-brunnemann,Maximilien Robespierre,55431,false,T3,,,,src/content/pieces/s05-c08--maximilien-robespierre.fr.md,skip
s05-c09,jean-christophe-i-l-aube,romain-rolland,Jean-Christophe. I. L'aube,44858,false,T1,https://fr.wikisource.org/wiki/L%E2%80%99Aube_(Jean-Christophe),validated,,src/content/pieces/s05-c09--jean-christophe-i-l-aube.fr.md,use-wikisource-jc
s05-c10,jean-christophe,romain-rolland,Jean-Christophe. II. Le matin,44365,false,T1,https://fr.wikisource.org/wiki/Le_Matin_(Jean-Christophe),validated,,src/content/pieces/s05-c10--jean-christophe.fr.md,use-wikisource-jc
s05-c11,le-monde-sans-dieu,mangasarian,Le monde sans Dieu,39546,false,T3,,,Archive.org vision OCR 2026-05-24 (see PROGRESS.md),src/content/pieces/s05-c11--le-monde-sans-dieu.fr.md,skip
s05-c12,petites-garnisons,charles-peguy,Petites garnisons,43137,false,T1,,,Archive.org vision OCR 2026-05-24 (see PROGRESS.md),src/content/pieces/s05-c12--petites-garnisons.fr.md,verify-peguy
s05-c13,les-vaincus-hypathie,gabriel-trarieux,Les Vaincus. Hypathie,5564,false,T3,,,,src/content/pieces/s05-c13--les-vaincus-hypathie.fr.md,skip
s05-c14,gaston-paris,joseph-bedier,Gaston Paris,8931,false,T2,,,,src/content/pieces/s05-c14--gaston-paris.fr.md,verify
s05-c15,jean-des-brebis,emile-moselly,Jean des Brebis,51701,false,T3,,,,src/content/pieces/s05-c15--jean-des-brebis.fr.md,skip
s05-c16,le-congres-de-dresde-edition-gaston-raphael,charles-peguy,"Le congrès de Dresde, édition GASTON RAPHAEL",72841,false,T1,,,,src/content/pieces/s05-c16--le-congres-de-dresde-edition-gaston-raphael.fr.md,done-reocr
s05-c17,a-chaque-jour,francois-porche,A chaque jour,2316,false,T3,,,,src/content/pieces/s05-c17--a-chaque-jour.fr.md,skip
s05-c18,prologue-d-une-revolution,louis-menard,Prologue d'une Révolution,94113,false,T3,,,,src/content/pieces/s05-c18--prologue-d-une-revolution.fr.md,skip
s05-c19,les-hobereaux,jerome-et-jean-tharaud,Les hobereaux,16466,false,T3,,,,src/content/pieces/s05-c19--les-hobereaux.fr.md,skip
s05-c20,congres-des-u-p-mai-1904,charles-peguy,Congrès des U.P. mai 1904,42405,false,T1,,,,src/content/pieces/s05-c20--congres-des-u-p-mai-1904.fr.md,skip-editorial
s06-c01,texte-sans-commentaires-catalogue-analytique-sommaire,charles-peguy,Texte sans commentaires. Catalogue analytique sommaire,48717,false,T1,,,,src/content/pieces/s06-c01--texte-sans-commentaires-catalogue-analytique-sommaire.fr.md,skip-editorial
s06-c02,l-egalite-devant-l-instruction,alexis-bertrand,L'égalité devant l'instruction,87947,false,T3,,,,src/content/pieces/s06-c02--l-egalite-devant-l-instruction.fr.md,skip
s06-c03,chad-gadya,israel-zangwill,Chad Gadya!,6900,false,T3,,,Wikisource ws-export 2026-05-25,src/content/pieces/s06-c03--chad-gadya.fr.md,skip
s06-c03,zangwill,charles-peguy,Zangwill,23774,false,T1,https://fr.wikisource.org/wiki/Zangwill,proofread,,src/content/pieces/s06-c03--zangwill.fr.md,use-wikisource
s06-c04,l-enseignement-primaire-a-madagascar,raoul-allier,L'enseignement primaire des indigènes à Madagascar,34693,false,T2,,,Extracted 2026-05-25 from conflated s06-c04--un-essai-de-monopole.fr.md (lines 1449-5502).,src/content/pieces/s06-c04--l-enseignement-primaire-a-madagascar.fr.md,done-reocr
s06-c04,un-essai-de-monopole,charles-peguy,Un essai de monopole,16307,false,T1,,,Trimmed 2026-05-25; the Madagascar cahier by Allier (lines 1449-5502) was extracted to s06-c04--l-enseignement-primaire-a-madagascar.fr.md.,src/content/pieces/s06-c04--un-essai-de-monopole.fr.md,done-reocr
s06-c05,le-testament-politique-de-waldeck-rousseau,charles-peguy,Le testament politique de Waldeck-Rousseau,100961,false,T1,,,,src/content/pieces/s06-c05--le-testament-politique-de-waldeck-rousseau.fr.md,verify-peguy
s06-c06,juifs-russes,georges-delahache,Juifs russes,5313,false,T3,,,,src/content/pieces/s06-c06--juifs-russes.fr.md,skip
s06-c07,les-primitifs-francais-contes-de-la-vierge,jerome-et-jean-tharaud,"Les primitifs français, contes de la Vierge",36463,false,T3,,,,src/content/pieces/s06-c07--les-primitifs-francais-contes-de-la-vierge.fr.md,skip
s06-c08,jean-christophe,romain-rolland,Jean-Christophe. III. L'adolescent,58803,false,T1,https://fr.wikisource.org/wiki/L%E2%80%99Adolescent_(Jean-Christophe),validated,,src/content/pieces/s06-c08--jean-christophe.fr.md,use-wikisource-jc
s06-c09,la-delation-aux-droits-de-l-homme,charles-peguy,La délation aux Droits de l'Homme,49792,false,T1,,,,src/content/pieces/s06-c09--la-delation-aux-droits-de-l-homme.fr.md,done-reocr
s06-c10,yves-madec-professeur-de-college,brenn,Yves Madec professeur de collège,13590,false,T3,,,,src/content/pieces/s06-c10--yves-madec-professeur-de-college.fr.md,skip
s06-c11,la-tragedie-d-elektre-et-oreste,andre-suares,La tragédie d'Elektre et Oreste,129535,false,T2,,,,src/content/pieces/s06-c11--la-tragedie-d-elektre-et-oreste.fr.md,verify
s06-c12,spartacus,urbain-gohier,Spartacus,12077,false,T3,,,,src/content/pieces/s06-c12--spartacus.fr.md,skip
s06-c13,l-eglise-et-l-etat,leon-tolstoi,L'Eglise et l'Etat,13712,false,T1,,,,src/content/pieces/s06-c13--l-eglise-et-l-etat.fr.md,verify-tolstoi
s06-c13,les-evenements-actuels-en-russie,leon-tolstoi,Les Événements actuels en Russie,4003,false,T1,,,Wikisource ws-export 2026-05-25,src/content/pieces/s06-c13--les-evenements-actuels-en-russie.fr.md,verify-tolstoi
s06-c14,la-separation-des-eglises-et-de-l-etat,raoul-allier,La séparation des Eglises et de l'Etat,173424,false,T2,,,,src/content/pieces/s06-c14--la-separation-des-eglises-et-de-l-etat.fr.md,verify
s06-c15,la-tragedie-de-tristan-et-iseut,eddy-marix,La tragédie de Tristan et Iseut,30634,false,T3,,,,src/content/pieces/s06-c15--la-tragedie-de-tristan-et-iseut.fr.md,skip
s06-c16,la-vie-et-les-propheties-du-comte-de-gobineau,robert-dreyfus,La vie et les prophéties du comte de Gobineau,82153,false,T3,,,,src/content/pieces/s06-c16--la-vie-et-les-propheties-du-comte-de-gobineau.fr.md,skip
s06-c17,catholicisme-et-critique,paul-desjardins,Catholicisme et critique,34897,false,T2,,,,src/content/pieces/s06-c17--catholicisme-et-critique.fr.md,verify
s07-c01,petit-index-alphabetique,charles-peguy,Petit index alphabétique,16597,false,T1,,,,src/content/pieces/s07-c01--petit-index-alphabetique.fr.md,verify-peguy
s07-c02,la-paix-et-la-guerre,charles-richet,La paix et la guerre,19878,false,T3,,,,src/content/pieces/s07-c02--la-paix-et-la-guerre.fr.md,skip
s07-c03,notre-patrie,charles-peguy,Notre patrie,19050,false,T1,https://fr.wikisource.org/wiki/Notre_Patrie,proofread,,src/content/pieces/s07-c03--notre-patrie.fr.md,use-wikisource
s07-c04,la-separation-au-senat,raoul-allier,La séparation au Sénat,88338,false,T2,,,,src/content/pieces/s07-c04--la-separation-au-senat.fr.md,verify
s07-c05,courrier-de-russie,charles-peguy,Courrier de Russie,8115,false,T1,,,Trimmed 2026-05-25; Avenard's 22 janvier narrative (lines 882-8943) extracted to sister file.,src/content/pieces/s07-c05--courrier-de-russie.fr.md,filter-blocked
